dayhour,cnt
2013-06-01 00,152
2013-06-01 01,102
2013-06-01 02,67
2013-06-01 03,41
2013-06-01 04,16
2013-06-01 05,13
2013-06-01 06,40
2013-06-01 07,93
2013-06-01 08,177
2013-06-01 09,280
2013-06-01 10,375
2013-06-01 11,473
2013-06-01 12,604
2013-06-01 13,638
2013-06-01 14,688
2013-06-01 15,684
2013-06-01 16,693
2013-06-01 17,728
2013-06-01 18,691
2013-06-01 19,651
2013-06-01 20,509
2013-06-01 21,361
2013-06-01 22,321
2013-06-01 23,325
2013-06-02 00,259
2013-06-02 01,173
2013-06-02 02,100
2013-06-02 03,67
2013-06-02 04,34
2013-06-02 05,28
2013-06-02 06,52
2013-06-02 07,87
2013-06-02 08,212
2013-06-02 09,453
2013-06-02 10,735
2013-06-02 11,1063
2013-06-02 12,1308
2013-06-02 13,1446
2013-06-02 14,1481
2013-06-02 15,1591
2013-06-02 16,1470
2013-06-02 17,1336
2013-06-02 18,1247
2013-06-02 19,1076
2013-06-02 20,805
2013-06-02 21,545
2013-06-02 22,341
2013-06-02 23,62
2013-06-03 00,47
2013-06-03 01,34
2013-06-03 02,11
2013-06-03 03,3
2013-06-03 04,1
2013-06-03 05,20
2013-06-03 06,91
2013-06-03 07,159
2013-06-03 08,192
2013-06-03 09,64
2013-06-03 10,171
2013-06-03 11,324
2013-06-03 12,473
2013-06-03 13,496
2013-06-03 14,540
2013-06-03 15,574
2013-06-03 16,641
2013-06-03 17,587
2013-06-03 18,793
2013-06-03 19,795
2013-06-03 20,650
2013-06-03 21,376
2013-06-03 22,323
2013-06-03 23,233
2013-06-04 00,101
2013-06-04 01,51
2013-06-04 02,39
2013-06-04 03,6
2013-06-04 04,11
2013-06-04 05,56
2013-06-04 06,222
2013-06-04 07,593
2013-06-04 08,1160
2013-06-04 09,975
2013-06-04 10,553
2013-06-04 11,570
2013-06-04 12,769
2013-06-04 13,916
2013-06-04 14,789
2013-06-04 15,771
2013-06-04 16,973
2013-06-04 17,1607
2013-06-04 18,1796
2013-06-04 19,1349
2013-06-04 20,971
2013-06-04 21,682
2013-06-04 22,491
2013-06-04 23,331
2013-06-05 00,143
2013-06-05 01,71
2013-06-05 02,24
2013-06-05 03,26
2013-06-05 04,11
2013-06-05 05,52
2013-06-05 06,205
2013-06-05 07,531
2013-06-05 08,1145
2013-06-05 09,954
2013-06-05 10,551
2013-06-05 11,579
2013-06-05 12,762
2013-06-05 13,815
2013-06-05 14,850
2013-06-05 15,802
2013-06-05 16,939
2013-06-05 17,1623
2013-06-05 18,1868
2013-06-05 19,1366
2013-06-05 20,922
2013-06-05 21,674
2013-06-05 22,461
2013-06-05 23,316
2013-06-06 00,152
2013-06-06 01,71
2013-06-06 02,58
2013-06-06 03,17
2013-06-06 04,25
2013-06-06 05,70
2013-06-06 06,212
2013-06-06 07,540
2013-06-06 08,1147
2013-06-06 09,1029
2013-06-06 10,579
2013-06-06 11,546
2013-06-06 12,769
2013-06-06 13,799
2013-06-06 14,805
2013-06-06 15,781
2013-06-06 16,895
2013-06-06 17,1214
2013-06-06 18,1179
2013-06-06 19,776
2013-06-06 20,381
2013-06-06 21,172
2013-06-06 22,109
2013-06-06 23,94
2013-06-07 00,51
2013-06-07 01,36
2013-06-07 02,16
2013-06-07 03,8
2013-06-07 04,4
2013-06-07 05,7
2013-06-07 06,26
2013-06-07 07,53
2013-06-07 08,113
2013-06-07 09,83
2013-06-07 10,73
2013-06-07 11,52
2013-06-07 12,53
2013-06-07 13,64
2013-06-07 14,66
2013-06-07 15,72
2013-06-07 16,73
2013-06-07 17,133
2013-06-07 18,100
2013-06-07 19,53
2013-06-07 20,35
2013-06-07 21,20
2013-06-07 22,13
2013-06-07 23,22
2013-06-08 00,7
2013-06-08 01,1
2013-06-08 02,8
2013-06-08 03,11
2013-06-08 04,9
2013-06-08 05,11
2013-06-08 06,41
2013-06-08 07,130
2013-06-08 08,233
2013-06-08 09,458
2013-06-08 10,741
2013-06-08 11,1086
2013-06-08 12,1342
2013-06-08 13,1632
