dayonly,cnt
2013-06-01,8722
2013-06-02,15971
2013-06-03,7598
2013-06-04,15782
2013-06-05,15690
2013-06-06,12420
2013-06-07,1226
2013-06-08,18007
2013-06-09,21034
2013-06-10,3897
2013-06-11,12596
2013-06-12,16795
2013-06-13,8016
2013-06-14,14942
2013-06-15,25178
2013-06-16,21966
2013-06-17,19659
2013-06-18,13724
2013-06-19,24142
2013-06-20,26603
2013-06-21,27997
2013-06-22,29281
2013-06-23,28065
2013-06-24,24251
2013-06-25,27827
2013-06-26,29499
2013-06-27,24334
2013-06-28,27818
2013-06-29,29753
2013-06-30,24909
2013-07-01,16651
2013-07-02,22745
2013-07-03,21864
2013-07-04,22326
2013-07-05,21842
2013-07-06,20467
2013-07-07,20477
2013-07-08,21615
2013-07-09,26641
2013-07-10,25732
2013-07-11,24417
2013-07-12,19006
2013-07-13,26119
2013-07-14,29287
2013-07-15,28069
2013-07-16,29842
2013-07-17,30550
2013-07-18,28869
2013-07-19,26591
2013-07-20,25278
2013-07-21,30297
2013-07-22,25979
2013-07-23,32376
2013-07-24,35271
2013-07-25,31084
2013-07-26,34534
2013-07-27,32470
2013-07-28,23508
2013-07-29,34915
2013-07-30,37334
2013-07-31,37261
2013-08-01,20138
2013-08-02,35792
2013-08-03,29540
2013-08-04,35253
2013-08-05,36776
2013-08-06,37702
2013-08-07,34396
2013-08-08,28366
2013-08-09,29017
2013-08-10,37201
2013-08-11,33060
2013-08-12,31457
2013-08-13,22437
2013-08-14,38150
2013-08-15,37386
2013-08-16,35991
2013-08-17,37285
2013-08-18,27612
2013-08-19,33127
2013-08-20,35843
2013-08-21,36315
2013-08-22,26629
2013-08-23,33503
2013-08-24,32941
2013-08-25,31755
2013-08-26,29979
2013-08-27,34208
2013-08-28,28185
2013-08-29,34215
2013-08-30,32318
2013-08-31,25381
2013-09-01,25235
2013-09-02,21416
2013-09-03,32411
2013-09-04,36798
2013-09-05,35825
2013-09-06,35868
2013-09-07,34419
2013-09-08,33196
2013-09-09,35394
2013-09-10,36954
2013-09-11,35812
2013-09-12,31252
2013-09-13,36501
2013-09-14,31607
2013-09-15,31914
2013-09-16,31287
2013-09-17,38283
2013-09-18,37957
2013-09-19,39200
2013-09-20,39382
2013-09-21,31826
2013-09-22,29758
2013-09-23,35152
2013-09-24,38417
2013-09-25,38223
2013-09-26,38189
2013-09-27,37412
2013-09-28,34931
2013-09-29,32592
2013-09-30,37148
2013-10-01,40575
2013-10-02,41383
2013-10-03,40456
2013-10-04,40195
2013-10-05,34181
2013-10-06,26574
2013-10-07,25016
2013-10-08,38365
2013-10-09,36969
2013-10-10,31171
2013-10-11,33357
2013-10-12,32457
2013-10-13,28832
2013-10-14,33018
2013-10-15,37534
2013-10-16,36911
2013-10-17,36888
2013-10-18,38122
2013-10-19,29548
2013-10-20,29256
2013-10-21,35012
2013-10-22,36338
2013-10-23,32365
2013-10-24,32251
2013-10-25,30979
2013-10-26,24569
2013-10-27,23965
2013-10-28,31498
2013-10-29,33414
2013-10-30,35069
2013-10-31,31444
2013-11-01,30384
2013-11-02,31013
2013-11-03,20798
2013-11-04,27142
2013-11-05,31493
2013-11-06,34826
2013-11-07,25719
2013-11-08,28686
2013-11-09,21734
2013-11-10,19712
2013-11-11,27295
2013-11-12,19925
2013-11-13,23633
2013-11-14,27040
2013-11-15,29051
2013-11-16,25194
2013-11-17,17995
2013-11-18,30615
2013-11-19,27417
2013-11-20,26229
2013-11-21,28752
2013-11-22,25448
2013-11-23,18996
2013-11-24,9392
2013-11-25,19116
2013-11-26,14999
2013-11-27,7976
2013-11-28,5204
2013-11-29,10127
2013-11-30,9863
2013-12-01,13326
2013-12-02,24576
2013-12-03,27431
2013-12-04,28199
2013-12-05,26988
2013-12-06,10736
2013-12-07,15545
2013-12-08,10090
2013-12-09,14824
2013-12-10,12850
2013-12-11,18766
2013-12-12,17214
2013-12-13,17888
2013-12-14,3701
2013-12-15,7462
2013-12-16,15562
2013-12-17,7863
2013-12-18,14924
2013-12-19,18766
2013-12-20,22066
2013-12-21,17940
2013-12-22,15063
2013-12-23,6956
2013-12-24,11025
2013-12-25,3260
2013-12-26,9763
2013-12-27,11720
2013-12-28,12022
2013-12-29,3775
2013-12-30,13241
2013-12-31,10424
2014-01-01,6059
2014-01-02,8600
2014-01-03,1144
2014-01-04,2292
2014-01-05,2678
2014-01-06,9510
2014-01-07,6267
2014-01-08,9246
2014-01-09,13354
2014-01-10,9847
2014-01-11,7695
2014-01-12,12515
2014-01-13,20633
2014-01-14,9999
2014-01-15,21630
2014-01-16,19953
2014-01-17,20301
2014-01-18,9438
2014-01-19,9028
2014-01-20,13407
2014-01-21,3804
2014-01-22,2451
2014-01-23,5071
2014-01-24,6176
2014-01-25,4338
2014-01-26,4980
2014-01-27,13119
2014-01-28,10033
2014-01-29,10021
2014-01-30,12158
2014-01-31,14653
2014-02-01,12771
2014-02-02,13816
2014-02-03,2600
2014-02-04,8709
2014-02-05,2746
2014-02-06,7196
2014-02-07,8495
2014-02-08,5986
2014-02-09,4996
2014-02-10,6846
2014-02-11,8343
2014-02-12,8580
2014-02-13,876
2014-02-14,3609
2014-02-15,2261
2014-02-16,3003
2014-02-17,4854
2014-02-18,5140
2014-02-19,8506
2014-02-20,11792
2014-02-21,8680
2014-02-22,13044
2014-02-23,13324
2014-02-24,12922
2014-02-25,12830
2014-02-26,11188
2014-02-27,12036
2014-02-28,9587
2014-03-01,9202
2014-03-02,8195
2014-03-03,7708
2014-03-04,10398
2014-03-05,13801
2014-03-06,12773
2014-03-07,13304
2014-03-08,16350
2014-03-09,12262
2014-03-10,17231
2014-03-11,24356
2014-03-12,15101
2014-03-13,10979
2014-03-14,16299
2014-03-15,18053
2014-03-16,9851
2014-03-17,12503
2014-03-18,16679
2014-03-19,13341
2014-03-20,19695
2014-03-21,20718
2014-03-22,19880
2014-03-23,11740
2014-03-24,13598
2014-03-25,16037
2014-03-26,14500
2014-03-27,16666
2014-03-28,18425
2014-03-29,4480
2014-03-30,7907
2014-03-31,17085
2014-04-01,23908
2014-04-02,22515
2014-04-03,26321
2014-04-04,12566
2014-04-05,18655
2014-04-06,20750
2014-04-07,14677
2014-04-08,21884
2014-04-09,26931
2014-04-10,27463
2014-04-11,26798
2014-04-12,27108
2014-04-13,26871
2014-04-14,28832
2014-04-15,10523
2014-04-16,20082
2014-04-17,22282
2014-04-18,20770
2014-04-19,24369
2014-04-20,18464
2014-04-21,27124
2014-04-22,27259
2014-04-23,26949
2014-04-24,28107
2014-04-25,27919
2014-04-26,19899
2014-04-27,21926
2014-04-28,28557
2014-04-29,18404
2014-04-30,2867
2014-05-01,26762
2014-05-02,32377
2014-05-03,25501
2014-05-04,21277
2014-05-05,30288
2014-05-06,32233
2014-05-07,32882
2014-05-08,17619
2014-05-09,22641
2014-05-10,21832
2014-05-11,28326
2014-05-12,31644
2014-05-13,32847
2014-05-14,30044
2014-05-15,26057
2014-05-16,17784
2014-05-17,29912
2014-05-18,27436
2014-05-19,31692
2014-05-20,35567
2014-05-21,34420
2014-05-22,24535
2014-05-23,24484
2014-05-24,16798
2014-05-25,25637
2014-05-26,26930
2014-05-27,32936
2014-05-28,29690
2014-05-29,33889
2014-05-30,34343
2014-05-31,27734
2014-06-01,31333
2014-06-02,34519
2014-06-03,29501
2014-06-04,36068
2014-06-05,24619
2014-06-06,37719
2014-06-07,31204
2014-06-08,30162
2014-06-09,18611
2014-06-10,33435
2014-06-11,30548
2014-06-12,29084
2014-06-13,18308
2014-06-14,28417
2014-06-15,28382
2014-06-16,34932
2014-06-17,35097
2014-06-18,35531
2014-06-19,31724
2014-06-20,34405
2014-06-21,30288
2014-06-22,29417
2014-06-23,32580
2014-06-24,35897
2014-06-25,34340
2014-06-26,34846
2014-06-27,35823
2014-06-28,28507
2014-06-29,27986
2014-06-30,33597
2014-07-01,34854
2014-07-02,26582
2014-07-03,27587
2014-07-04,13612
2014-07-05,22913
2014-07-06,23822
2014-07-07,31863
2014-07-08,32713
2014-07-09,34426
2014-07-10,36288
2014-07-11,35000
2014-07-12,28718
2014-07-13,24869
2014-07-14,25825
2014-07-15,22963
2014-07-16,35391
2014-07-17,38619
2014-07-18,36105
2014-07-19,29291
2014-07-20,30296
2014-07-21,35670
2014-07-22,36886
2014-07-23,34173
2014-07-24,36693
2014-07-25,36384
2014-07-26,27179
2014-07-27,27004
2014-07-28,33189
2014-07-29,37092
2014-07-30,37377
2014-07-31,35458
2014-08-01,32654
2014-08-02,26784
2014-08-03,25276
2014-08-04,33822
2014-08-05,34392
2014-08-06,36336
2014-08-07,36362
2014-08-08,34073
2014-08-09,31636
2014-08-10,26749
2014-08-11,33664
2014-08-12,26261
2014-08-13,27977
2014-08-14,35154
2014-08-15,32480
2014-08-16,32017
2014-08-17,27417
2014-08-18,34339
2014-08-19,35367
2014-08-20,35532
2014-08-21,33804
2014-08-22,30406
2014-08-23,26429
2014-08-24,27493
2014-08-25,32892
2014-08-26,34519
2014-08-27,33721
2014-08-28,33927
2014-08-29,31264
2014-08-30,22689
2014-08-31,18053
2014-09-01,23575
2014-09-02,30507
2014-09-03,35535
2014-09-04,36496
2014-09-05,34831
2014-09-06,25833
2014-09-07,29721
